set NODES:=Belluno Feltre Cortina_dAmpezzo Padova Abano_Terme Este Rovigo Adria Porto_Tolle Treviso Conegliano Milano Montebelluna Venezia Chioggia Mirano Verona Bardolino Peschiera_del_Garda Vicenza Bassano_del_Grappa Marostica;
param: ARCS: cost:=
Milano Bardolino 120
Milano Peschiera_del_Garda 117
Milano Verona 141
Milano Bassano_del_Grappa 201
Milano Marostica 195
Milano Vicenza 184
Milano Belluno 247
Milano Cortina_dAmpezzo 257
Milano Feltre 220
Milano Conegliano 247
Milano Montebelluna 225
Milano Treviso 239
Milano Chioggia 244
Milano Mirano 228
Milano Venezia 246
Milano Abano_Terme 204
Milano Este 195
Milano Padova 210
Milano Adria 230
Milano Porto_Tolle 254
Milano Rovigo 209
Bardolino Milano 120
Bardolino Peschiera_del_Garda 12
Bardolino Verona 25
Bardolino Bassano_del_Grappa 83
Bardolino Marostica 76
Bardolino Vicenza 65
Bardolino Belluno 134
Bardolino Cortina_dAmpezzo 155
Bardolino Feltre 106
Bardolino Conegliano 129
Bardolino Montebelluna 106
Bardolino Treviso 120
Bardolino Chioggia 127
Bardolino Mirano 109
Bardolino Venezia 127
Bardolino Abano_Terme 86
Bardolino Este 81
Bardolino Padova 92
Bardolino Adria 118
Bardolino Porto_Tolle 143
Bardolino Rovigo 99
Peschiera_del_Garda Milano 117
Peschiera_del_Garda Bardolino 12
Peschiera_del_Garda Verona 24
Peschiera_del_Garda Bassano_del_Grappa 89
Peschiera_del_Garda Marostica 83
Peschiera_del_Garda Vicenza 68
Peschiera_del_Garda Belluno 142
Peschiera_del_Garda Cortina_dAmpezzo 166
Peschiera_del_Garda Feltre 115
Peschiera_del_Garda Conegliano 135
Peschiera_del_Garda Montebelluna 112
Peschiera_del_Garda Treviso 124
Peschiera_del_Garda Chioggia 127
Peschiera_del_Garda Mirano 111
Peschiera_del_Garda Venezia 129
Peschiera_del_Garda Abano_Terme 86
Peschiera_del_Garda Este 79
Peschiera_del_Garda Padova 93
Peschiera_del_Garda Adria 115
Peschiera_del_Garda Porto_Tolle 140
Peschiera_del_Garda Rovigo 95
Verona Milano 141
Verona Bardolino 25
Verona Peschiera_del_Garda 24
Verona Bassano_del_Grappa 68
Verona Marostica 62
Verona Vicenza 45
Verona Belluno 123
Verona Cortina_dAmpezzo 151
Verona Feltre 96
Verona Conegliano 113
Verona Montebelluna 90
Verona Treviso 101
Verona Chioggia 104
Verona Mirano 87
Verona Venezia 105
Verona Abano_Terme 63
Verona Este 57
Verona Padova 69
Verona Adria 94
Verona Porto_Tolle 118
Verona Rovigo 75
Bassano_del_Grappa Milano 201
Bassano_del_Grappa Bardolino 83
Bassano_del_Grappa Peschiera_del_Garda 89
Bassano_del_Grappa Verona 68
Bassano_del_Grappa Marostica 6
Bassano_del_Grappa Vicenza 28
Bassano_del_Grappa Belluno 56
Bassano_del_Grappa Cortina_dAmpezzo 91
Bassano_del_Grappa Feltre 31
Bassano_del_Grappa Conegliano 46
Bassano_del_Grappa Montebelluna 24
Bassano_del_Grappa Treviso 41
Bassano_del_Grappa Chioggia 74
Bassano_del_Grappa Mirano 42
Bassano_del_Grappa Venezia 60
Bassano_del_Grappa Abano_Terme 46
Bassano_del_Grappa Este 60
Bassano_del_Grappa Padova 42
Bassano_del_Grappa Adria 83
Bassano_del_Grappa Porto_Tolle 102
Bassano_del_Grappa Rovigo 77
Marostica Milano 195
Marostica Bardolino 76
Marostica Peschiera_del_Garda 83
Marostica Verona 62
Marostica Bassano_del_Grappa 6
Marostica Vicenza 24
Marostica Belluno 61
Marostica Cortina_dAmpezzo 95
Marostica Feltre 36
Marostica Conegliano 52
Marostica Montebelluna 30
Marostica Treviso 47
Marostica Chioggia 76
Marostica Mirano 45
Marostica Venezia 64
Marostica Abano_Terme 44
Marostica Este 58
Marostica Padova 42
Marostica Adria 83
Marostica Porto_Tolle 103
Marostica Rovigo 76
Vicenza Milano 184
Vicenza Bardolino 65
Vicenza Peschiera_del_Garda 68
Vicenza Verona 45
Vicenza Bassano_del_Grappa 28
Vicenza Marostica 24
Vicenza Belluno 84
Vicenza Cortina_dAmpezzo 119
Vicenza Feltre 59
Vicenza Conegliano 70
Vicenza Montebelluna 46
Vicenza Treviso 56
Vicenza Chioggia 68
Vicenza Mirano 44
Vicenza Venezia 63
Vicenza Abano_Terme 28
Vicenza Este 37
Vicenza Padova 30
Vicenza Adria 68
Vicenza Porto_Tolle 91
Vicenza Rovigo 56
Belluno Milano 247
Belluno Bardolino 134
Belluno Peschiera_del_Garda 142
Belluno Verona 123
Belluno Bassano_del_Grappa 56
Belluno Marostica 61
Belluno Vicenza 84
Belluno Cortina_dAmpezzo 45
Belluno Feltre 27
Belluno Conegliano 29
Belluno Montebelluna 42
Belluno Treviso 52
Belluno Chioggia 102
Belluno Mirano 72
Belluno Venezia 79
Belluno Abano_Terme 93
Belluno Este 110
Belluno Padova 86
Belluno Adria 121
Belluno Porto_Tolle 132
Belluno Rovigo 123
Cortina_dAmpezzo Milano 257
Cortina_dAmpezzo Bardolino 155
Cortina_dAmpezzo Peschiera_del_Garda 166
Cortina_dAmpezzo Verona 151
Cortina_dAmpezzo Bassano_del_Grappa 91
Cortina_dAmpezzo Marostica 95
Cortina_dAmpezzo Vicenza 119
Cortina_dAmpezzo Belluno 45
Cortina_dAmpezzo Feltre 60
Cortina_dAmpezzo Conegliano 73
Cortina_dAmpezzo Montebelluna 85
Cortina_dAmpezzo Treviso 97
Cortina_dAmpezzo Chioggia 147
Cortina_dAmpezzo Mirano 116
